Plant_No,Track_ID,Size_CM,Timestamp,Image_Path
1,8,10.23,2026-03-15 12:00:24,Plant_1_ID_8_120024.jpg
2,10,15.31,2026-03-15 12:00:29,Plant_2_ID_10_120029.jpg
3,14,15.53,2026-03-15 12:00:33,Plant_3_ID_14_120033.jpg
1,7,10.17,2026-03-15 14:24:58,Plant_1_ID_7_142458.jpg
2,8,15.33,2026-03-15 14:25:03,Plant_2_ID_8_142503.jpg
3,33,15.57,2026-03-15 14:25:09,Plant_3_ID_33_142509.jpg
1,15,15.85,2026-03-15 15:10:48,Plant_1_ID_15_151048.jpg
2,19,16.13,2026-03-15 15:10:52,Plant_2_ID_19_151052.jpg
1,6,15.88,2026-03-15 18:40:42,Plant_1_ID_6_184042.jpg
2,10,12.34,2026-03-15 18:40:47,Plant_2_ID_10_184047.jpg
1,9,12.37,2026-03-16 00:28:18,Plant_1_ID_9_002818.jpg
2,33,15.4,2026-03-16 00:28:22,Plant_2_ID_33_002822.jpg
3,59,15.14,2026-03-16 00:28:28,Plant_3_ID_59_002828.jpg
1,8,16.79,2026-03-16 08:00:27,Plant_1_ID_8_080027.jpg
2,24,15.39,2026-03-16 08:00:32,Plant_2_ID_24_080032.jpg
3,37,15.32,2026-03-16 08:00:36,Plant_3_ID_37_080036.jpg
