Timestamp,Tag_ID,Planting_Dist_cm,Spacing_Gap_cm,Interval_Dist_cm
2026-03-15 11:32:32,20220,20,10,20
2026-03-15 11:45:02,20220,20,10,20
2026-03-15 11:57:50,20220,20,10,20
2026-03-15 13:52:40,20220,20,10,20
2026-03-15 14:17:55,20220,20,10,20
2026-03-15 14:20:07,20220,20,10,20
2026-03-15 14:58:53,40315,40,15,15
2026-03-15 15:07:47,10115,10,5,15
2026-03-15 18:37:57,20220,20,10,20
2026-03-16 00:25:35,20220,20,10,20
2026-03-16 07:14:52,10115,10,5,15
2026-03-16 07:14:52,10115,10,5,15
2026-03-16 07:34:19,35215,35,10,15
2026-03-16 07:34:19,35215,35,10,15
2026-03-16 07:57:46,25315,25,15,15
